timestamp,load_mw
2006-07-16 13:30:00,5.74985
2006-07-16 13:45:00,5.738725
2006-07-16 14:00:00,5.7276
2006-07-16 14:15:00,5.766025
2006-07-16 14:30:00,5.80445
2006-07-16 14:45:00,5.842875
2006-07-16 15:00:00,5.8813
2006-07-16 15:15:00,5.9511
2006-07-16 15:30:00,6.0209
2006-07-16 15:45:00,6.0907
2006-07-16 16:00:00,6.1605
2006-07-16 16:15:00,6.1615
2006-07-16 16:30:00,6.1625
2006-07-16 16:45:00,6.1635
2006-07-16 17:00:00,6.1645
2006-07-16 17:15:00,6.10545
2006-07-16 17:30:00,6.0464
2006-07-16 17:45:00,5.98735
2006-07-16 18:00:00,5.9283
2006-07-16 18:15:00,5.836775
2006-07-16 18:30:00,5.74525
2006-07-16 18:45:00,5.653725
